Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Substantial Acquisition of Shares and Takeovers,regulation  3),59e5fd82e8da983c02d4443aee16e0a5.docx,"['code', 'requirement', 'public', 'offer', 'vishal']"
Substantial Acquisition of Shares and Takeovers,regulation  29),59e5fd82e8da983c02d4443aee16e0a5.docx,"['confirmation', 'code', 'limited', 'private', 'transaction']"
Substantial Acquisition of Shares and Takeovers,regulation  29(1),59e5fd82e8da983c02d4443aee16e0a5.docx,"['secretarial', 'department', 'corporate', 'disclosure', 'india']"
Issue of Capital and Disclosure Requirements,regulation  78(3),5ab4c4e70d58312324b7b2868d74805a.docx,"['debentures', 'basis', 'lock', 'allotment', 'promoter']"
Issue of Capital and Disclosure Requirements,"regulation ,2009(hereinafterreferredtoassebi()",5ab4c4e70d58312324b7b2868d74805a.docx,"['debentures', 'lock', 'exchange', 'aforesaid', 'company']"
Issue of Capital and Disclosure Requirements,regulation  78(1),5ab4c4e70d58312324b7b2868d74805a.docx,"['debentures', 'basis', 'allotment', 'promoter', 'date']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),5b2552ed5cdbe3b0d310a890d8c62b33.docx,"['shares', 'company', 'acquisition', 'acquirer', 'issue']"
Alternative Investment Funds,regulation  2(1),5b97be7ad1eba42583b2e9a88f50538a.docx,"['company', 'activities', 'venture', 'government', 'india']"
Alternative Investment Funds,regulation  19),5b97be7ad1eba42583b2e9a88f50538a.docx,"['investments', 'investment', 'right', 'angel', 'venture']"
Prohibition of Insider Trading,"regulation ,1997(""takeoverregulations"")",5bc0987beb5d8a2e522cb2abee5f91df.docx,"['trust', 'trustees', 'shares', 'company', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  11),5bc0987beb5d8a2e522cb2abee5f91df.docx,"['shareholding', 'trust', 'company', 'promoters', 'purposes']"
Share Based Employee Benefits,"regulation ,2014()",5d2dcdb774bfe379733a2370a33abfad.docx,"['jsw', 'guidance', 'letter', 'group', 'relation']"
Share Based Employee Benefits,regulation  1(4),5d2dcdb774bfe379733a2370a33abfad.docx,"['company', 'india', 'director', 'employee', 'group']"
Share Based Employee Benefits,regulation  2(1),5d2dcdb774bfe379733a2370a33abfad.docx,"['company', 'group', 'scheme', 'entities', 'india']"
Substantial Acquisition of Shares and Takeovers,regulation  10(4),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['acquisition', 'shristi', 'capital', 'shares', 'mode']"
Substantial Acquisition of Shares and Takeovers,regulation  3),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['capital', 'venture', 'promoters', 'shristi', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['acquisition', 'shristi', 'shares', 'mode', 'capital']"
Substantial Acquisition of Shares and Takeovers,regulation  7(4),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['promoters', 'shareholding', 'action', 'shristi', 'rules']"
Foreign Venture Capital Investor,regulation  10(4),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['capital', 'venture', 'promoters', 'shristi', 'target']"
Foreign Venture Capital Investor,regulation  3),61c9f4ee21bbabcc688f50cbb1a0112c.docx,"['capital', 'venture', 'promoters', 'shristi', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),6205be1f6896638c397debe50e69e916.docx,"['shares', 'voting', 'rights', 'shareholding', 'acquisition']"
Alternative Investment Funds,"regulation ,2012()",633276c91daa640843861e4c2e08956f.docx,"['investment', 'trust', 'limited', 'trustee', 'iifl']"
Alternative Investment Funds,regulation  37),633276c91daa640843861e4c2e08956f.docx,"['lock', 'guidance', 'investment', 'ipo', 'date']"
Issue of Capital and Disclosure Requirements,regulation  37),633276c91daa640843861e4c2e08956f.docx,"['capital', 'fund', 'management', 'venture', 'date']"
Issue of Capital and Disclosure Requirements,regulation  2009),633276c91daa640843861e4c2e08956f.docx,"['capital', 'fund', 'management', 'venture', 'investment']"
Substantial Acquisition of Shares and Takeovers,regulation  10),63e30ed2ce713181e2c6a8317e4b5223.docx,"['letter', 'virtue', 'respect', 'obligations', 'confirmation']"
Delisting of Equity Shares,"regulation ,2011(""takeovercode"")",655c1b93b3e0b14e4f80204b2f870c27.docx,"['provisions', 'guidance', 'exchange', 'shares', 'letter']"
Delisting of Equity Shares,regulation  3),655c1b93b3e0b14e4f80204b2f870c27.docx,"['person', 'board', 'capital', 'relative', 'clause']"
Delisting of Equity Shares,regulation  4),655c1b93b3e0b14e4f80204b2f870c27.docx,"['person', 'board', 'capital', 'relative', 'clause']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),655c1b93b3e0b14e4f80204b2f870c27.docx,"['purposes', 'offer', 'delisting', 'code', 'concert']"
Substantial Acquisition of Shares and Takeovers,regulation  2(2),655c1b93b3e0b14e4f80204b2f870c27.docx,"['acquisition', 'shares', 'concert', 'code', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),655c1b93b3e0b14e4f80204b2f870c27.docx,"['company', 'acquirer', 'investment', 'fund', 'persons']"
Substantial Acquisition of Shares and Takeovers,regulation  10),655c1b93b3e0b14e4f80204b2f870c27.docx,"['person', 'board', 'relative', 'capital', 'clause']"
Prohibition of Insider Trading,regulation  8(1),67005856206bce25efa025174caf08e1.docx,"['shares', 'price', 'exchange', 'provisions', 'unpublished']"
Prohibition of Insider Trading,regulation  4(1),67005856206bce25efa025174caf08e1.docx,"['market', 'exchange', 'possession', 'relaxation', 'provisions']"
Prohibition of Insider Trading,regulation  3),67005856206bce25efa025174caf08e1.docx,"['relaxation', 'promoter', 'conduct', 'trade', 'possession']"
Prohibition of Insider Trading,regulation  9),67005856206bce25efa025174caf08e1.docx,"['market', 'conduct', 'code', 'board', 'standards']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),6926985055d378f7139eeb1081467beb.docx,"['company', 'shares', 'group', 'promoter', 'substantial']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(“sebi()",6926985055d378f7139eeb1081467beb.docx,"['company', 'shares', 'group', 'promoter', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  72(2),6926985055d378f7139eeb1081467beb.docx,"['shares', 'board', 'promoter', 'equity', 'person']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2009)",6926985055d378f7139eeb1081467beb.docx,"['shares', 'board', 'promoter', 'equity', 'person']"
Issue of Capital and Disclosure Requirements,regulation  72(2),6926985055d378f7139eeb1081467beb.docx,"['shares', 'promoter', 'board', 'issuer', 'person']"
Issue of Capital and Disclosure Requirements,"regulation ,2009(“sebi()",6926985055d378f7139eeb1081467beb.docx,"['explanation', 'issue', 'sale', 'query', 'transfer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011("")",69460e1639ce083af75bb44bc7203065.docx,"['application', 'opinion', 'respect', 'code', 'reference']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""takeovercode"")",69460e1639ce083af75bb44bc7203065.docx,"['application', 'opinion', 'respect', 'code', 'reference']"
Substantial Acquisition of Shares and Takeovers,regulation  10),69460e1639ce083af75bb44bc7203065.docx,"['shares', 'company', 'voting', 'rights', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3),69460e1639ce083af75bb44bc7203065.docx,"['opinion', 'application', 'respect', 'code', 'facts']"
Substantial Acquisition of Shares and Takeovers,regulation  20),69460e1639ce083af75bb44bc7203065.docx,"['family', 'agarwal', 'tree', 'relatives', 'members']"
Substantial Acquisition of Shares and Takeovers,regulation  2),69460e1639ce083af75bb44bc7203065.docx,"['shares', 'company', 'voting', 'rights', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),69460e1639ce083af75bb44bc7203065.docx,"['shares', 'company', 'code', 'sub', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),6a4deb51df9081602992421be612bf2c.docx,"['shares', 'group', 'promoter', 'details', 'equity']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),6a4deb51df9081602992421be612bf2c.docx,"['shares', 'group', 'promoter', 'details', 'equity']"
Substantial Acquisition of Shares and Takeovers,regulation  19(6),6a4deb51df9081602992421be612bf2c.docx,"['shares', 'group', 'promoter', 'details', 'equity']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011('sebi)",6a4deb51df9081602992421be612bf2c.docx,"['shares', 'group', 'promoter', 'details', 'equity']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(sebx)",6a08b5a8820c9b4038b658565c712d19.docx,"['limited', 'shares', 'sri', 'arumuga', 'enterprise']"
Substantial Acquisition of Shares and Takeovers,regulation  10),6a08b5a8820c9b4038b658565c712d19.docx,"['shares', 'share', 'promoter', 'offer', 'open']"
Substantial Acquisition of Shares and Takeovers,regulation  6),6a08b5a8820c9b4038b658565c712d19.docx,"['sael', 'date', 'shares', 'transferor', 'chapter']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),6a08b5a8820c9b4038b658565c712d19.docx,"['group', 'target', 'company', 'shares', 'act']"
Listing Obligations and Disclosure Requirements,regulation  46),6dc20af6a9edd16d283f609634ca36eb.docx,"['listing', 'guidance', 'company', 'subsidiary', 'redington']"
Listing Obligations and Disclosure Requirements,regulation  24),6dc20af6a9edd16d283f609634ca36eb.docx,"['subsidiaries', 'company', 'board', 'secretarial', 'guidance']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(sebi()",6dc20af6a9edd16d283f609634ca36eb.docx,"['guidance', 'informal', 'provisions', 'letter', 'scheme']"
Portfolio Managers,regulation  1613),70993bb8e0cdd7477d9f74599601e5cb.docx,"['letter', 'guidance', 'mutual', 'india', 'shill']"
Substantial Acquisition of Shares and Takeovers,regulation  2(9),70f74a27910077083a51f8993093db69.docx,"['shares', 'equity', 'persons', 'promoters', 'concert']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",70f74a27910077083a51f8993093db69.docx,"['shares', 'equity', 'persons', 'promoters', 'concert']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),70f74a27910077083a51f8993093db69.docx,"['shares', 'equity', 'fml', 'shareholding', 'total']"
Substantial Acquisition of Shares and Takeovers,regulation  2(o),70f74a27910077083a51f8993093db69.docx,"['fml', 'holding', 'meaning', 'contracts', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  28(3),70f74a27910077083a51f8993093db69.docx,"['meaning', 'persons', 'encumberance', 'term', 'concert']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),724933f1937e3dccd1d67b5e58cf6636.docx,"['relation', 'substantial', 'acquisition', 'subject', 'madam']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),724933f1937e3dccd1d67b5e58cf6636.docx,"['relation', 'substantial', 'acquisition', 'subject', 'madam']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",72f30711e69a6d39e233bf89c9c4f1d8.docx,"['offer', 'exchange', 'view', 'substantial', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),72f30711e69a6d39e233bf89c9c4f1d8.docx,"['offer', 'position', 'days', 'period', 'information']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),728a5664744414c08b973b24ba44eac3.docx,"['limited', 'exchange', 'stock', 'respect', 'provisions']"
Prohibition of Insider Trading,regulation  9),74c8cd5e7b8eaff5a32e6f5f607b091c.docx,"['persons', 'code', 'conduct', 'provisions', 'board']"
Alternative Investment Funds,regulation  15(c),75dd65ca184961ec97064964b0a40d7a.docx,"['investment', 'limit', 'action', 'funds', 'letter']"
Alternative Investment Funds,regulation  17(a),75dd65ca184961ec97064964b0a40d7a.docx,"['investment', 'limit', 'action', 'funds', 'letter']"
Issue of Capital and Disclosure Requirements,regulation  2(1),7528fcb173646f12342488f11c8abfc7.docx,"['shares', 'security', 'date', 'equity', 'para']"
Issue of Capital and Disclosure Requirements,regulation  78(2),7528fcb173646f12342488f11c8abfc7.docx,"['shares', 'date', 'approval', 'security', 'equity']"
Issue of Capital and Disclosure Requirements,regulation  78),7528fcb173646f12342488f11c8abfc7.docx,"['approval', 'shares', 'equity', 'basis', 'persons']"
Issue of Capital and Disclosure Requirements,regulation  78(3),7528fcb173646f12342488f11c8abfc7.docx,"['query', 'shares', 'equity', 'lock', 'conversion']"
Issue of Capital and Disclosure Requirements,regulation  79(2),7528fcb173646f12342488f11c8abfc7.docx,"['shares', 'equity', 'period', 'query', 'allottee']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),76bb9580b02f83be8fd8f9af3e71f85b.docx,"['alps', 'company', 'business', 'hamied', 'wife']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),76bb9580b02f83be8fd8f9af3e71f85b.docx,"['shares', 'persons', 'change', 'shareholding', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  3),76bb9580b02f83be8fd8f9af3e71f85b.docx,"['shares', 'persons', 'transfer', 'change', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),76bb9580b02f83be8fd8f9af3e71f85b.docx,"['persons', 'concert', 'shareholding', 'thresholds', 'aggregate']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),76bb9580b02f83be8fd8f9af3e71f85b.docx,"['letter', 'change', 'provisions', 'request', 'days']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),768e1ca3ca8266ba42692c72aab79508.docx,"['company', 'shares', 'acquisition', 'guidance', 'limited']"
Substantial Acquisition of Shares and Takeovers,regulation  5),768e1ca3ca8266ba42692c72aab79508.docx,"['shares', 'acquisition', 'persons', 'voting', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  3),768e1ca3ca8266ba42692c72aab79508.docx,"['limited', 'private', 'holder', 'company', 'drpl']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011("")",774e5d08e1b4e207955dc97386f19e23.docx,"['letter', 'guidance', 'limited', 'force', 'motors']"
Substantial Acquisition of Shares and Takeovers,regulation  5),774e5d08e1b4e207955dc97386f19e23.docx,"['jhi', 'firodia', 'result', 'prasan', 'abhay']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),774e5d08e1b4e207955dc97386f19e23.docx,"['shares', 'firodia', 'target', 'prasan', 'control']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),774e5d08e1b4e207955dc97386f19e23.docx,"['acquirer', 'shares', 'jhi', 'application', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3),774e5d08e1b4e207955dc97386f19e23.docx,"['confirmation', 'jaya', 'hind', 'amalgamation', 'scheme']"
Substantial Acquisition of Shares and Takeovers,regulation  10),774e5d08e1b4e207955dc97386f19e23.docx,"['confirmation', 'jaya', 'hind', 'amalgamation', 'scheme']"
Infrastructure Investment Trusts,regulation  19(4),77cc6db2105ffa881b5f664bde369a05.docx,"['investment', 'manager', 'sponsors', 'entity', 'invit']"
Infrastructure Investment Trusts,regulation  19),77cc6db2105ffa881b5f664bde369a05.docx,"['investment', 'manager', 'sponsors', 'entity', 'invit']"
Infrastructure Investment Trusts,regulation  4(2),77cc6db2105ffa881b5f664bde369a05.docx,"['identified', 'manager', 'investment', 'invit', 'committee']"
Issue of Capital and Disclosure Requirements,"regulation ,2009()",7811f5e82ebe87cd3a262bd191c86d58.docx,"['issue', 'gil', 'chapter', 'ocds', 'equity']"
Issue of Capital and Disclosure Requirements,regulation  70(1),7811f5e82ebe87cd3a262bd191c86d58.docx,"['issue', 'chapter', 'section', 'option', 'debt']"
Issue of Capital and Disclosure Requirements,regulation  75),7811f5e82ebe87cd3a262bd191c86d58.docx,"['chapter', 'vii', 'issue', 'convertible', 'provisions']"
Substantial Acquisition of Shares and Takeovers,regulation  22(1),78b1b99aa1651be31e031cf47684b953.docx,"['shares', 'acquisition', 'offer', 'exchange', 'board']"
Substantial Acquisition of Shares and Takeovers,regulation  13(1),78b1b99aa1651be31e031cf47684b953.docx,"['analysis', 'views', 'issues', 'target', 'reference']"
Substantial Acquisition of Shares and Takeovers,regulation  13(2),78b1b99aa1651be31e031cf47684b953.docx,"['announcement', 'rights', 'voting', 'market', 'purchases']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),7981ab1318b3910e69dff36a839c7fe6.docx,"['shares', 'company', 'applicability', 'promoter', 'qualifying']"
Substantial Acquisition of Shares and Takeovers,regulation  20(4),7981ab1318b3910e69dff36a839c7fe6.docx,"['price', 'matter', 'markets', 'impact', 'query']"
Listing Obligations and Disclosure Requirements,regulation  24),79a6f45d992972229f6a55f6b40fa57e.docx,"['guidance', 'provisions', 'letter', 'informal', 'company']"
Listing Obligations and Disclosure Requirements,regulation  16),79a6f45d992972229f6a55f6b40fa57e.docx,"['guidance', 'provisions', 'letter', 'informal', 'company']"
Listing Obligations and Disclosure Requirements,regulation  2015),79a6f45d992972229f6a55f6b40fa57e.docx,"['guidance', 'provisions', 'letter', 'informal', 'company']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",7aabd4b53f7ad31f10ec9a7d1c9c679d.docx,"['filaments', 'ginni', 'limited', 'substantial', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  3),7aabd4b53f7ad31f10ec9a7d1c9c679d.docx,"['company', 'cent', 'view', 'analysis', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),7aabd4b53f7ad31f10ec9a7d1c9c679d.docx,"['company', 'cent', 'view', 'analysis', 'transfer']"
Custodian,regulation  15),7c4bdd7d93cd3d79f99bb4b3c2a1cda1.docx,"['guidance', 'elaborates', 'client', 'seri', 'limited']"
Listing Obligations and Disclosure Requirements,regulation  48),7a2da632709edd7a946f8aa54895aa5a.docx,"['companies', 'standards', 'accounting', 'statements', 'section']"
Listing Obligations and Disclosure Requirements,regulation  4(1),7a2da632709edd7a946f8aa54895aa5a.docx,"['preparation', 'results', 'obligations', 'publishing', 'statements']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",7dbccdc2a9feeaa612094788a3ae9f11.docx,"['letter', 'company', 'target', 'substantial', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),7dbccdc2a9feeaa612094788a3ae9f11.docx,"['acquisition', 'target', 'company', 'case', 'equity']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),7dbccdc2a9feeaa612094788a3ae9f11.docx,"['acquisition', 'case', 'promoter', 'limit', 'composite']"
Prohibition of Insider Trading,regulation  2),7db3e9ce43373e8d2823b7603b72252b.docx,"['person', 'continuation', 'cili', 'upsi', 'exchange']"
Prohibition of Insider Trading,regulation  9),7db3e9ce43373e8d2823b7603b72252b.docx,"['provisions', 'market', 'employees', 'intermediary', 'schedule']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'shristi', 'promoters', 'agreement', 'capital']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(hereinafterreferredas')",7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'shristi', 'capital', 'shares', 'investment']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(hereinafterreferredas'takeoverregulations')",7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'shristi', 'capital', 'shares', 'investment']"
Substantial Acquisition of Shares and Takeovers,regulation  10(4),7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'shristi', 'promoters', 'capital', 'agreement']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'promoters', 'agreement', 'proviso', 'venture']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),7dfa0e0638fe28146a910c5da8813f91.docx,"['acquisition', 'share', 'letter', 'promoter', 'shareholding']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),7e2052740cca53d7600ba0d4ae703a37.docx,"['jatia', 'trust', 'yashvardhan', 'grandparents', 'continuation']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),7e2052740cca53d7600ba0d4ae703a37.docx,"['reference', 'shares', 'trust', 'jatia', 'yashvardhan']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),7e2052740cca53d7600ba0d4ae703a37.docx,"['reference', 'shares', 'trust', 'jatia', 'yashvardhan']"
Prohibition of Insider Trading,regulation  4),7e2596de6eac70792804ca2a045c6091.docx,"['equity', 'shares', 'trade', 'unpublished', 'accordance']"
Prohibition of Insider Trading,regulation  9),7e2596de6eac70792804ca2a045c6091.docx,"['trade', 'company', 'officer', 'compliance', 'window']"
Alternative Investment Funds,regulation  2(1),7e8d724ccdcb40c1ad8b41476902c524.docx,"['funds', 'investment', 'fund', 'deposits', 'alternative']"
Alternative Investment Funds,regulation  15(1),7e8d724ccdcb40c1ad8b41476902c524.docx,"['funds', 'investment', 'deposits', 'fund', 'alternative']"
Alternative Investment Funds,"regulation  15(11:generalinvestmentconditions;
""(c)",7e8d724ccdcb40c1ad8b41476902c524.docx,"['funds', 'investment', 'fund', 'alternative', 'deposits']"
Alternative Investment Funds,regulation  150),7e8d724ccdcb40c1ad8b41476902c524.docx,"['fund', 'funds', 'deposits', 'jmfl', 'behalf']"
Credit Rating Agencies,regulation  27(1),7f98ee76f026db51627c625e7d4996c8.docx,"['smera', 'letter', 'scheme', 'entities', 'services']"
Credit Rating Agencies,regulation  25),7f98ee76f026db51627c625e7d4996c8.docx,"['smera', 'services', 'provisions', 'equity', 'guidance']"
Credit Rating Agencies,regulation  13),7f98ee76f026db51627c625e7d4996c8.docx,"['credit', 'rating', 'entities', 'representation', 'division']"
Share Based Employee Benefits,regulation  1(4),7fbd45ce76c1aed9a5d20ca0d5fa24a0.docx,"['company', 'scheme', 'benefit', 'employee', 'conditions']"
Issue and Listing of Debt Securities,regulation  4(3),818a2fbe0550a6c207d382d6c709639f.docx,"['issue', 'board', 'merchant', 'debt', 'placement']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['promoters', 'promoter', 'deal', 'letter', 'offer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",830be2cfb98936f6bce6d7b68ddaf80e.docx,"['promoters', 'deal', 'letter', 'stock', 'analysis']"
Substantial Acquisition of Shares and Takeovers,regulation  10),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['promoters', 'offer', 'obligation', 'parties', 'acquisitions']"
Prohibition of Insider Trading,regulation  9),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['promoters', 'transaction', 'trade', 'letter', 'analysis']"
Prohibition of Insider Trading,regulation  3),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['promoters', 'restrictions', 'window', 'transaction', 'trade']"
Prohibition of Insider Trading,regulation  4(1),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['transaction', 'preclearance', 'fall', 'proviso', 'restrictions']"
Prohibition of Insider Trading,regulation  4),830be2cfb98936f6bce6d7b68ddaf80e.docx,"['transaction', 'preclearance', 'fall', 'proviso', 'restrictions']"
Foreign Portfolio Investors,regulation  20(1),8443fcdab74df87713a41c10afcb78f4.docx,"['exchange', 'shares', 'instruments', 'india', 'person']"
Foreign Portfolio Investors,regulation  20(8),8443fcdab74df87713a41c10afcb78f4.docx,"['instruments', 'exchange', 'shares', 'india', 'person']"
Issue of Capital and Disclosure Requirements,regulation  36),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['promoters', 'period', 'date', 'clause', 'production']"
Issue of Capital and Disclosure Requirements,regulation  40),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['promoters', 'company', 'cement', 'date', 'production']"
Issue of Capital and Disclosure Requirements,regulation  79),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['cement', 'shares', 'promoter', 'promoters', 'issuer']"
Substantial Acquisition of Shares and Takeovers,regulation  79),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['cement', 'shares', 'promoter', 'promoters', 'issuer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2009)",841e0de15a3d6b5aa33fe9d7e707014a.docx,"['cement', 'shares', 'promoter', 'promoters', 'issuer']"
Substantial Acquisition of Shares and Takeovers,regulation  3),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['shareholding', 'shares', 'company', 'target', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  40),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['promoters', 'cement', 'promoter', 'lock', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  2009),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['promoters', 'cement', 'promoter', 'lock', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),841e0de15a3d6b5aa33fe9d7e707014a.docx,"['promoters', 'shareholding', 'transfer', 'opinion', 'provisions']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),84c8db1c8b29893fb1c989223b0233b7.docx,"['company', 'warrants', 'informal', 'guidance', 'place']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),84c8db1c8b29893fb1c989223b0233b7.docx,"['company', 'warrants', 'informal', 'guidance', 'place']"
Issue of Capital and Disclosure Requirements,regulation  76),84c8db1c8b29893fb1c989223b0233b7.docx,"['terms', 'price', 'company', 'yogen', 'khosla']"
Substantial Acquisition of Shares and Takeovers,regulation  9),853914f4f773045668ad67c610c68d34.docx,"['promoter', 'officer', 'clearance', 'code', 'compliance']"
Custodian,regulation  15),85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['respect', 'guidance', 'informal', 'letter', 'views']"
Custodian,"regulation ,1996()",85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['accounts', 'axis', 'mails', 'letter', 'bank']"
Custodian,"regulation ,1993)",85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['portfolio', 'funds', 'manager', 'rif', 'atraal']"
Custodian,regulation  1996),85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['transactions', 'assets', 'letter', 'benefits', 'aforesaid']"
Portfolio Managers,regulation  16(8),85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['portfolio', 'clients', 'alia', 'funds', 'manager']"
Portfolio Managers,"regulation ,1993)",85ebc8ea7857e79689b5adbb22dcd0e7.docx,"['portfolio', 'clients', 'alia', 'funds', 'manager']"
Substantial Acquisition of Shares and Takeovers,regulation  3),854126a55e6a515483ac8b6e691597b0.docx,"['shares', 'india', 'kjmc', 'company', 'target']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebi()",854126a55e6a515483ac8b6e691597b0.docx,"['shares', 'sub', 'shareholding', 'person', 'guidance']"
Issue of Capital and Disclosure Requirements,regulation  72(2),87cb02028dcd490b0c7b9111f415f1db.docx,"['letter', 'page', 'guidance', 'promoter', 'reference']"
Issue of Capital and Disclosure Requirements,"regulation ,2009)",87cb02028dcd490b0c7b9111f415f1db.docx,"['letter', 'issue', 'promoter', 'alfr', 'exchange']"
Issue of Capital and Disclosure Requirements,regulation  72),87cb02028dcd490b0c7b9111f415f1db.docx,"['shares', 'issue', 'board', 'letter', 'issuer']"
Substantial Acquisition of Shares and Takeovers,regulation  72(2),87cb02028dcd490b0c7b9111f415f1db.docx,"['shares', 'board', 'issue', 'issuer', 'equity']"
Substantial Acquisition of Shares and Takeovers,regulation  3),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['shares', 'company', 'voting', 'application', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['shares', 'family', 'agarwal', 'company', 'code']"
Substantial Acquisition of Shares and Takeovers,regulation  10),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['shares', 'voting', 'rights', 'code', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  4),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['shares', 'company', 'voting', 'rights', 'acquisition']"
