Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Foreign Portfolio Investors,regulation  14),0bdc0549432d597695b932cb25bf035d.docx,"['kyc', 'client', 'documents', 'clause', 'guidance']"
Foreign Portfolio Investors,"regulation ,2011)",0bdc0549432d597695b932cb25bf035d.docx,"['kyc', 'client', 'documents', 'clause', 'guidance']"
Prohibition of Insider Trading,"regulation ,2015)",0c9419dea56be71d578d9809e55f7420.docx,"['code', 'guidance', 'trade', 'conduct', 'board']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),0caabaa08ddf68b53358ed32877d9ae0.docx,"['proposed', 'shares', 'acquirer', 'letter', 'jogeshwari']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),0caabaa08ddf68b53358ed32877d9ae0.docx,"['acquirer', 'shares', 'company', 'guidance', 'offer']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),0caabaa08ddf68b53358ed32877d9ae0.docx,"['acquirer', 'offer', 'proposed', 'transfer', 'letter']"
Substantial Acquisition of Shares and Takeovers,regulation  4),0caabaa08ddf68b53358ed32877d9ae0.docx,"['acquirer', 'offer', 'legal', 'framework', 'aforesaid']"
Substantial Acquisition of Shares and Takeovers,regulation  10),0caabaa08ddf68b53358ed32877d9ae0.docx,"['acquirer', 'offer', 'conditions', 'acquisitions', 'aforesaid']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),0caabaa08ddf68b53358ed32877d9ae0.docx,"['proposed', 'jogeshwari', 'volume', 'price', 'days']"
Substantial Acquisition of Shares and Takeovers,regulation  10(6),0caabaa08ddf68b53358ed32877d9ae0.docx,"['proposed', 'days', 'report', 'future', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  10(7),0caabaa08ddf68b53358ed32877d9ae0.docx,"['proposed', 'days', 'report', 'future', 'transfer']"
Prohibition of Insider Trading,regulation  9),0c9f4131313e54e49d7b9915993ab00e.docx,"['promoter', 'officer', 'kbl', 'compliance', 'clearance']"
Prohibition of Insider Trading,regulation  9(1),0c9f4131313e54e49d7b9915993ab00e.docx,"['board', 'rejection', 'schedule', 'applicant', 'shares']"
Prohibition of Insider Trading,"regulation ,2015()",0c9f4131313e54e49d7b9915993ab00e.docx,"['respect', 'board', 'upsi', 'investors', 'value']"
Prohibition of Insider Trading,regulation  2(1),0c9f4131313e54e49d7b9915993ab00e.docx,"['board', 'compliance', 'directors', 'officer', 'committee']"
Substantial Acquisition of Shares and Takeovers,regulation  9),0c9f4131313e54e49d7b9915993ab00e.docx,"['promoter', 'officer', 'compliance', 'clearance', 'kcpl']"
Prohibition of Insider Trading,"regulation ,2015("")",0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['employees', 'possession', 'exchange', 'prohibijon', 'stock']"
Prohibition of Insider Trading,"regulation ,2015(""pitregulations"")",0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['employees', 'possession', 'exchange', 'prohibijon', 'stock']"
Prohibition of Insider Trading,regulation  4(1),0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['employees', 'possession', 'exchange', 'prohibijon', 'stock']"
Prohibition of Insider Trading,regulation  4),0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['possession', 'alternative', 'upsi', 'terms', 'ofsebi']"
Alternative Investment Funds,"regulation ,2015(""pitregulations"")",0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['employees', 'possession', 'exchange', 'prohibijon', 'stock']"
Alternative Investment Funds,regulation  2(1),0cd8f695cd80143ca4bcdd54fb3097b5.docx,"['possession', 'alternative', 'terms', 'ofsebi', 'sbi']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),0ccb29dd475bcb46841ed78cf67632d3.docx,"['terms', 'company', 'warrants', 'stock', 'exchanges']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",0ccb29dd475bcb46841ed78cf67632d3.docx,"['terms', 'company', 'warrants', 'stock', 'exchanges']"
Issue of Capital and Disclosure Requirements,regulation  78(6),0ccb29dd475bcb46841ed78cf67632d3.docx,"['date', 'lock', 'issue', 'promoters', 'months']"
Issue of Capital and Disclosure Requirements,"regulation ,2009()",0ccb29dd475bcb46841ed78cf67632d3.docx,"['issue', 'case', 'lock', 'period', 'purpose']"
Issue of Capital and Disclosure Requirements,regulation  71),0ccb29dd475bcb46841ed78cf67632d3.docx,"['date', 'approval', 'allotment', 'shareholders', 'warrants']"
Prohibition of Insider Trading,regulation  9(1),0dfbdd9dae200033b03473bc83ceb033.docx,"['persons', 'companies', 'list', 'clients', 'relatives']"
Foreign Portfolio Investors,"regulation ,2019()",0dc1aedcecf52c288a3ce1e959da5d5a.docx,"['applicant', 'portfolio', 'foreign', 'pte', 'exchange']"
Foreign Portfolio Investors,regulation  20),0dc1aedcecf52c288a3ce1e959da5d5a.docx,"['shares', 'company', 'applicable', 'portfolio', 'legal']"
Foreign Portfolio Investors,regulation  20(1),0dc1aedcecf52c288a3ce1e959da5d5a.docx,"['person', 'foreign', 'resident', 'shares', 'india']"
Foreign Portfolio Investors,regulation  20(8),0dc1aedcecf52c288a3ce1e959da5d5a.docx,"['person', 'foreign', 'resident', 'shares', 'india']"
Substantial Acquisition of Shares and Takeovers,regulation  3),0ea10e41ff8449b35232ded231b20631.docx,"['trust', 'para', 'transfer', 'shares', 'dhruv']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),0ea10e41ff8449b35232ded231b20631.docx,"['trust', 'sawhney', 'trusts', 'shares', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),0ea10e41ff8449b35232ded231b20631.docx,"['trust', 'shares', 'trusts', 'target', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  5),0ea10e41ff8449b35232ded231b20631.docx,"['trust', 'shares', 'trusts', 'target', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),0ed2c700a760674631623f607175c0a9.docx,"['acquisition', 'scheme', 'exchange', 'guidance', 'limit']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),0ed2c700a760674631623f607175c0a9.docx,"['apl', 'shares', 'acquisition', 'promoter', 'equity']"
Mutual Funds,"regulation ,1993)",0ef9199b2ef17c0ac18f540b432db53a.docx,"['registrars', 'transfer', 'company', 'ltd', 'agents']"
Mutual Funds,regulation  25(15),0ef9199b2ef17c0ac18f540b432db53a.docx,"['amc', 'proviso', 'activities', 'value', 'conflict']"
